recipe,trainer,trainable_M,lr,n_train,n_epoch,token_ok,pdms,ncc,dac,ttc,ep,comfort_2f
safe_lr1e4_1k,sft_stage2_safe.py,,1e-4,1000,1,no,0.48427377360959994,0.77,0.73,0.74,0.8823293340373647,0.8823529411764706
safe_lr5e4_1k,sft_stage2_safe.py,1.35,5e-4,1000,1,yes,0.4524217719086688,0.725,0.74,0.705,0.9038937282731924,0.8411764705882353
safe_lr1e5_1k,sft_stage2_safe.py,1.35,1e-5,1000,1,yes,0.500721296172776,0.78,0.74,0.75,0.8774293402629227,0.8764705882352941
safe_lr5e5_1k,sft_stage2_safe.py,1.35,5e-5,1000,1,no,0.4933781214230757,0.77,0.74,0.75,0.8790432631287487,0.8764705882352941
safe_lr1e3_1k,sft_stage2_safe.py,1.35,1e-3,1000,1,no,0.360270513877435,0.6125,0.75,0.575,0.9226849859669036,0.7823529411764706
exp_lr5e5_1k,sft_stage2_expert_only.py,8.26,5e-5,1000,1,yes,0.3594466612130367,0.5975,0.755,0.54,0.9135491992161705,0.788235294117647
exp_lr1e5_1k,sft_stage2_expert_only.py,8.26,1e-5,1000,1,yes,0.3544212901338786,0.605,0.745,0.55,0.9140560521526436,0.7941176470588235
exp_lr5e6_1k,sft_stage2_expert_only.py,8.26,5e-6,1000,1,yes,0.32719271099934516,0.6025,0.715,0.545,0.9145128953550633,0.8
exp_lr1e6_1k,sft_stage2_expert_only.py,8.26,1e-6,1000,1,yes,0.3410106819952455,0.5975,0.735,0.55,0.91421695998559,0.7941176470588235
safe_lr1e4_2k,sft_stage2_safe.py,1.35,1e-4,2000,1,yes,0.4769345684599203,0.7525,0.735,0.715,0.8866423146305141,0.8764705882352941
